County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,,,
San Diego,92061,2015,71,505,52,21,,,
,92063,2015,0,1,0,0,,,
San Diego,92064,2015,1235,12081,1005,188,,,
San Diego,92065,2015,1019,8966,770,185,,,
San Diego,92066,2015,6,102,6,3,,,
San Diego,92067,2015,527,3000,372,148,,,
San Diego,92068,2015,0,1,0,0,,,
San Diego,92069,2015,1085,9347,901,208,,,
San Diego,92070,2015,19,234,9,7,,,
San Diego,92071,2015,1327,12100,1020,159,,,
San Diego,92072,2015,0,3,0,0,,,
,92073,2015,0,2,0,0,,,
San Diego,92074,2015,1,1,0,0,,,
San Diego,92075,2015,310,2832,236,72,,,
,92077,2015,0,0,1,0,,,
San Diego,92078,2015,1617,9898,1183,229,,,
San Diego,92079,2015,0,3,0,0,,,
San Diego,92081,2015,819,5421,597,125,,,
San Diego,92082,2015,610,4554,382,176,,,
San Diego,92083,2015,709,5975,550,159,,,
San Diego,92084,2015,1164,9185,888,217,,,
San Diego,92085,2015,0,3,0,0,,,
San Diego,92086,2015,45,443,35,17,,,
San Diego,92088,2015,0,8,1,0,,,
San Diego,92091,2015,147,680,101,27,,,
San Diego,92093,2015,0,0,0,0,,,
San Diego,92096,2015,0,0,1,0,,,
San Diego,92101,2015,144,1884,238,27,,,
